"album"|"album_url"
"Keeping Nothing"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/07/e7/78/07e77816-de4e-044a-99cd-8bb5d42da9b2/source/512x512.jpg"
"Griseus"|"https://is1-ssl.mzstatic.com/image/thumb/Music113/v4/50/d3/ab/50d3ab94-d38f-d962-dd7f-8b7cdd28d420/source/512x512.jpg"
"Anatomy of the Infinite"|"https://is1-ssl.mzstatic.com/image/thumb/Music/v4/34/17/15/341715c0-a982-04fb-3c22-af13d19256af/source/512x512.jpg"
"Glories of the Nightsky"|"https://is4-ssl.mzstatic.com/image/thumb/Music/v4/03/5a/71/035a716b-b0d3-30d5-8826-7f36ff2a1427/source/512x512.jpg"
"Renascent Misanthropy"|"https://is4-ssl.mzstatic.com/image/thumb/Music/v4/03/5a/71/035a716b-b0d3-30d5-8826-7f36ff2a1427/source/512x512.jpg"
"To Lay Like Old Ashes"|"https://is2-ssl.mzstatic.com/image/thumb/Music123/v4/9f/1f/80/9f1f80d8-56de-978f-d850-f911638f454e/source/512x512.jpg"
"Withering Illusions and Desolation"|"https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/63/f3/c1/63f3c10c-fc4b-7786-61f7-49a0fcf1c700/source/512x512.jpg"
"The Last Sons of Perylin"|"https://is5-ssl.mzstatic.com/image/thumb/Music6/v4/f3/a6/37/f3a63751-b4ec-a1b3-1339-da6963c110ee/source/512x512.jpg"
"Vessels"|"https://is1-ssl.mzstatic.com/image/thumb/Music60/v4/8c/55/51/8c55516c-a104-8938-d5d1-8f0e871d3c91/source/512x512.jpg"
"The Frail Tide"|"https://is4-ssl.mzstatic.com/image/thumb/Music128/v4/10/62/17/106217b5-6257-ed8a-308e-af7fa2f34f3e/source/512x512.jpg"
"Of Breath and Bone"|"https://is5-ssl.mzstatic.com/image/thumb/Music118/v4/72/26/fe/7226fe62-44a8-8feb-c7db-4757ce3d9cb8/source/512x512.jpg"
"Stone's Reach"|"https://is5-ssl.mzstatic.com/image/thumb/Music128/v4/80/d8/90/80d890af-1f44-4382-4b07-04624c8293a3/source/512x512.jpg"
"History.Altar.Ashes"|"https://is1-ssl.mzstatic.com/image/thumb/Music128/v4/46/2a/2d/462a2dce-5e59-54b1-c29f-ec35ce904403/source/512x512.jpg"
"Vengeance War 'Till Death"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/fb/98/2b/fb982b5b-2bb5-e75b-608b-8d0b88e82cb9/source/512x512.jpg"
"Nadir"|"https://is4-ssl.mzstatic.com/image/thumb/Music4/v4/ae/99/7e/ae997eff-5cd6-ef10-d21f-d0ec7fbf57d4/source/512x512.jpg"
"Our Ashes Built Mountains"|"https://is5-ssl.mzstatic.com/image/thumb/Music/v4/40/ea/d7/40ead7de-ca4c-af4a-2845-4b7974555d2a/source/512x512.jpg"
"Yeest"|"https://is3-ssl.mzstatic.com/image/thumb/Music/v4/2b/9b/c9/2b9bc918-e660-f657-5f5b-9a42820f39f1/source/512x512.jpg"
"Blood Duster"|"https://is3-ssl.mzstatic.com/image/thumb/Music123/v4/be/22/a0/be22a09f-09ee-63b6-739b-c53693c14fc7/source/512x512.jpg"
"The Human Hive"|"https://is3-ssl.mzstatic.com/image/thumb/Music22/v4/09/47/85/0947855d-8d8a-4194-2445-16237e9f7dd5/source/512x512.jpg"
"Rise Radiant (Bonus Tracks Version)"|"https://is2-ssl.mzstatic.com/image/thumb/Music114/v4/b6/8a/83/b68a8365-5ab1-2fe3-86e0-e7aeafa7ee05/source/512x512.jpg"
"The Tide, the Thief & River's End (Re-issue 2017)"|"https://is2-ssl.mzstatic.com/image/thumb/Music127/v4/e0/ca/44/e0ca444f-5050-0bf7-d493-f7ac00b284ee/source/512x512.jpg"
"In Contact"|"https://is4-ssl.mzstatic.com/image/thumb/Music118/v4/8a/83/7e/8a837e2e-50ca-7e32-881f-54199440b0c2/source/512x512.jpg"
"Moments from Ephemeral City (Re-issue 2017)"|"https://is5-ssl.mzstatic.com/image/thumb/Music127/v4/76/94/c5/7694c5f6-8c67-dbad-5736-f9ac37c00b5d/source/512x512.jpg"
